Date,Open,High,Low,Close,Adj Close,Volume
2023-07-06,0.008465,0.008676,0.008281,0.008284,0.008284,1682767
2023-07-07,0.008283,0.008377,0.008162,0.008319,0.008319,1328018
2023-07-08,0.008315,0.008338,0.008198,0.008297,0.008297,937408
2023-07-09,0.008301,0.008561,0.008292,0.008375,0.008375,1671101
2023-07-10,0.008373,0.008414,0.008237,0.008369,0.008369,1724726
2023-07-11,0.008362,0.009036,0.008342,0.008862,0.008862,7160703
2023-07-12,0.008869,0.009006,0.008687,0.008693,0.008693,3331194
2023-07-13,0.008693,0.009120,0.008689,0.008965,0.008965,4814797
2023-07-14,0.008954,0.009401,0.008932,0.009166,0.009166,3903631
2023-07-15,0.009164,0.009688,0.009031,0.009616,0.009616,4740477
2023-07-16,0.009627,0.009670,0.009347,0.009409,0.009409,2608289
2023-07-17,0.009429,0.009479,0.009084,0.009236,0.009236,1734698
2023-07-18,0.009232,0.009267,0.008995,0.009072,0.009072,1346281
2023-07-19,0.009071,0.009481,0.009042,0.009448,0.009448,1801519
2023-07-20,0.009450,0.009726,0.009189,0.009328,0.009328,2364078
2023-07-21,0.009329,0.009461,0.009282,0.009460,0.009460,1201267
2023-07-22,0.009460,0.010261,0.009433,0.010046,0.010046,5813278
2023-07-23,0.010044,0.010188,0.009618,0.009731,0.009731,6079917
2023-07-24,0.009732,0.009783,0.009065,0.009139,0.009139,3465570
2023-07-25,0.009133,0.009580,0.009042,0.009522,0.009522,2787191
2023-07-26,0.009523,0.009584,0.009338,0.009551,0.009551,2139092
2023-07-27,0.009551,0.009590,0.009361,0.009428,0.009428,1237664
2023-07-28,0.009429,0.010282,0.009423,0.010174,0.010174,10914148
2023-07-29,0.010171,0.010447,0.009936,0.010408,0.010408,5496973
2023-07-30,0.010407,0.010426,0.009598,0.009654,0.009654,5407796
2023-07-31,0.009654,0.010013,0.009653,0.009988,0.009988,3646218
2023-08-01,0.009996,0.009998,0.009509,0.009934,0.009934,3090407
2023-08-02,0.009936,0.009995,0.009740,0.009748,0.009748,2547540
2023-08-03,0.009755,0.009837,0.009545,0.009830,0.009830,1998579
2023-08-04,0.009831,0.009965,0.009649,0.009897,0.009897,2405697
2023-08-05,0.009893,0.009896,0.009731,0.009813,0.009813,1591012
2023-08-06,0.009813,0.009819,0.009602,0.009654,0.009654,1403205
2023-08-07,0.009654,0.009843,0.009496,0.009795,0.009795,3348060
2023-08-08,0.009790,0.009790,0.009572,0.009725,0.009725,1444358
2023-08-09,0.009725,0.009737,0.009552,0.009644,0.009644,1235126
2023-08-10,0.009644,0.009644,0.009486,0.009552,0.009552,1124300
2023-08-11,0.009552,0.009568,0.009440,0.009468,0.009468,981156
2023-08-12,0.009468,0.009520,0.009384,0.009394,0.009394,1135819
2023-08-13,0.009396,0.009417,0.009300,0.009311,0.009311,1083727
2023-08-14,0.009313,0.009317,0.009154,0.009246,0.009246,1133435
2023-08-15,0.009246,0.009255,0.008898,0.008910,0.008910,1362036
2023-08-16,0.008910,0.008911,0.008147,0.008157,0.008157,2308888
2023-08-17,0.008156,0.008309,0.007331,0.007656,0.007656,2271211
2023-08-18,0.007649,0.007927,0.007629,0.007811,0.007811,2288703
2023-08-19,0.007808,0.007955,0.007808,0.007936,0.007936,989039
2023-08-20,0.007936,0.008049,0.007894,0.008012,0.008012,1020447
2023-08-21,0.008011,0.008058,0.007811,0.007904,0.007904,1124271
2023-08-22,0.007905,0.007936,0.007572,0.007688,0.007688,1017382
2023-08-23,0.007689,0.007892,0.007632,0.007839,0.007839,712097
2023-08-24,0.007847,0.007886,0.007732,0.007843,0.007843,940721
2023-08-25,0.007833,0.009460,0.007781,0.008780,0.008780,48207374
2023-08-26,0.008779,0.008787,0.008137,0.008183,0.008183,8215952
2023-08-27,0.008183,0.008187,0.007841,0.007896,0.007896,3934890
2023-08-28,0.007900,0.007907,0.007702,0.007869,0.007869,2780941
2023-08-29,0.007870,0.007937,0.007601,0.007882,0.007882,5752520
2023-08-30,0.007887,0.007887,0.007643,0.007718,0.007718,2239842
2023-08-31,0.007717,0.007733,0.007500,0.007511,0.007511,2030736
2023-09-01,0.007511,0.007575,0.007349,0.007356,0.007356,2325831
2023-09-02,0.007354,0.007478,0.007315,0.007457,0.007457,1705270
2023-09-03,0.007461,0.007716,0.007367,0.007435,0.007435,2357953
2023-09-04,0.007434,0.007484,0.007294,0.007339,0.007339,1793735
2023-09-05,0.007340,0.007432,0.007269,0.007412,0.007412,1694357
2023-09-06,0.007410,0.007455,0.007323,0.007415,0.007415,1851763
2023-09-07,0.007417,0.007613,0.007324,0.007511,0.007511,1828308
2023-09-08,0.007512,0.007701,0.007358,0.007438,0.007438,3996738
2023-09-09,0.007435,0.007720,0.007361,0.007488,0.007488,3589190
2023-09-10,0.007488,0.007501,0.007220,0.007263,0.007263,2240105
2023-09-11,0.007263,0.007301,0.006849,0.006946,0.006946,2336882
2023-09-12,0.006948,0.007082,0.006872,0.006942,0.006942,1881089
2023-09-13,0.006942,0.007124,0.006935,0.007058,0.007058,3200345
2023-09-14,0.007056,0.007349,0.007056,0.007280,0.007280,3003316
2023-09-15,0.007281,0.007373,0.007181,0.007350,0.007350,2066765
2023-09-16,0.007344,0.007478,0.007337,0.007446,0.007446,2078675
2023-09-17,0.007446,0.007466,0.007301,0.007336,0.007336,2077855
2023-09-18,0.007331,0.007700,0.007291,0.007612,0.007612,3713256
2023-09-19,0.007614,0.007741,0.007519,0.007619,0.007619,2166212
2023-09-20,0.007613,0.007840,0.007480,0.007824,0.007824,2671445
2023-09-21,0.007823,0.007825,0.007454,0.007498,0.007498,2165835
2023-09-22,0.007498,0.008122,0.007478,0.008036,0.008036,3434993
2023-09-23,0.008032,0.008685,0.007820,0.008068,0.008068,6574674
2023-09-24,0.008067,0.008141,0.007896,0.007908,0.007908,3194236
2023-09-25,0.007908,0.007908,0.007636,0.007797,0.007797,2195789
2023-09-26,0.007804,0.008366,0.007804,0.008090,0.008090,23953112
2023-09-27,0.008088,0.008120,0.007723,0.007830,0.007830,4833868
2023-09-28,0.007830,0.008061,0.007755,0.008010,0.008010,2460171
2023-09-29,0.008011,0.008449,0.008002,0.008165,0.008165,8792329
2023-09-30,0.008171,0.008215,0.008057,0.008209,0.008209,1653660
2023-10-01,0.008207,0.008394,0.008106,0.008369,0.008369,2231623
2023-10-02,0.008385,0.008414,0.008078,0.008102,0.008102,2129328
2023-10-03,0.008095,0.008095,0.007874,0.007934,0.007934,1862923
2023-10-04,0.007932,0.007952,0.007714,0.007905,0.007905,1975922
2023-10-05,0.007924,0.008000,0.007817,0.007883,0.007883,1103549
2023-10-06,0.007881,0.008108,0.007814,0.008108,0.008108,1460841
2023-10-07,0.008109,0.009279,0.008066,0.008839,0.008839,6979127
2023-10-08,0.008854,0.008914,0.008095,0.008169,0.008169,3322941
2023-10-09,0.008169,0.008223,0.007670,0.007741,0.007741,2262040
2023-10-10,0.007740,0.007829,0.007684,0.007771,0.007771,1182023
2023-10-11,0.007770,0.007832,0.007453,0.007500,0.007500,1841668
2023-10-12,0.007504,0.007721,0.007480,0.007718,0.007718,1152193
2023-10-13,0.007715,0.007810,0.007560,0.007765,0.007765,1776252
2023-10-14,0.007766,0.007811,0.007707,0.007811,0.007811,952207
2023-10-15,0.007813,0.009346,0.007813,0.008253,0.008253,13605995
2023-10-16,0.008253,0.008496,0.008070,0.008395,0.008395,5515535
2023-10-17,0.008389,0.008389,0.008098,0.008384,0.008384,2999173
2023-10-18,0.008380,0.009487,0.007967,0.008064,0.008064,21540594
2023-10-19,0.008063,0.008651,0.007883,0.008321,0.008321,5770813
2023-10-20,0.008322,0.009172,0.008250,0.008768,0.008768,14951954
2023-10-21,0.008769,0.008914,0.008578,0.008781,0.008781,3962762
2023-10-22,0.008780,0.008903,0.008574,0.008741,0.008741,2945237
2023-10-23,0.008826,0.010200,0.008788,0.009394,0.009394,55737548
2023-10-24,0.009398,0.010494,0.009358,0.010066,0.010066,38674960
2023-10-25,0.010068,0.010432,0.009946,0.010137,0.010137,10977865
